================ Training Loss (Sat Feb 21 15:53:10 2026) ================
[Rank 0] (epoch: 4, iters: 860, time: 0.072, data: 0.001) , D_A: 0.310, G_A: 0.175, cycle_A: 0.317, idt_A: 0.258, D_B: 0.203, G_B: 0.205, cycle_B: 0.478, idt_B: 0.113

[Rank 0] (epoch: 4, iters: 960, time: 0.071, data: 0.000) , D_A: 0.197, G_A: 0.804, cycle_A: 0.274, idt_A: 0.168, D_B: 0.242, G_B: 0.346, cycle_B: 0.489, idt_B: 0.103

[Rank 0] (epoch: 4, iters: 1060, time: 0.122, data: 0.002) , D_A: 0.028, G_A: 0.688, cycle_A: 0.276, idt_A: 0.179, D_B: 0.219, G_B: 0.834, cycle_B: 0.466, idt_B: 0.106

[Rank 0] (epoch: 4, iters: 1160, time: 0.071, data: 0.001) , D_A: 0.321, G_A: 0.182, cycle_A: 0.251, idt_A: 0.104, D_B: 0.230, G_B: 0.833, cycle_B: 0.293, idt_B: 0.119

[Rank 0] (epoch: 4, iters: 1260, time: 0.071, data: 0.001) , D_A: 0.095, G_A: 0.296, cycle_A: 0.281, idt_A: 0.208, D_B: 0.074, G_B: 0.381, cycle_B: 0.383, idt_B: 0.111

[Rank 0] (epoch: 4, iters: 1360, time: 0.072, data: 0.003) , D_A: 0.040, G_A: 0.474, cycle_A: 0.283, idt_A: 0.103, D_B: 0.044, G_B: 0.315, cycle_B: 0.305, idt_B: 0.098

[Rank 0] (epoch: 4, iters: 1460, time: 0.122, data: 0.001) , D_A: 0.044, G_A: 0.609, cycle_A: 0.229, idt_A: 0.071, D_B: 0.054, G_B: 0.690, cycle_B: 0.170, idt_B: 0.093

[Rank 0] (epoch: 4, iters: 1560, time: 0.072, data: 0.001) , D_A: 0.123, G_A: 0.848, cycle_A: 0.243, idt_A: 0.151, D_B: 0.030, G_B: 0.668, cycle_B: 0.462, idt_B: 0.091

[Rank 0] (epoch: 4, iters: 1660, time: 0.072, data: 0.001) , D_A: 0.090, G_A: 0.838, cycle_A: 0.245, idt_A: 0.058, D_B: 0.131, G_B: 1.260, cycle_B: 0.176, idt_B: 0.104

[Rank 0] (epoch: 4, iters: 1760, time: 0.072, data: 0.002) , D_A: 0.060, G_A: 0.750, cycle_A: 0.380, idt_A: 0.092, D_B: 0.281, G_B: 0.671, cycle_B: 0.371, idt_B: 0.152

[Rank 0] (epoch: 4, iters: 1860, time: 0.128, data: 0.001) , D_A: 0.037, G_A: 0.930, cycle_A: 0.263, idt_A: 0.168, D_B: 0.197, G_B: 0.494, cycle_B: 0.459, idt_B: 0.103

[Rank 0] (epoch: 4, iters: 1960, time: 0.071, data: 0.000) , D_A: 0.134, G_A: 0.377, cycle_A: 0.275, idt_A: 0.102, D_B: 0.075, G_B: 0.477, cycle_B: 0.280, idt_B: 0.146

[Rank 0] (epoch: 4, iters: 2060, time: 0.071, data: 0.001) , D_A: 0.156, G_A: 0.286, cycle_A: 0.275, idt_A: 0.164, D_B: 0.081, G_B: 0.415, cycle_B: 0.411, idt_B: 0.114

[Rank 0] (epoch: 4, iters: 2160, time: 0.072, data: 0.001) , D_A: 0.352, G_A: 0.110, cycle_A: 0.235, idt_A: 0.095, D_B: 0.015, G_B: 0.768, cycle_B: 0.233, idt_B: 0.102

[Rank 0] (epoch: 4, iters: 2260, time: 0.122, data: 0.001) , D_A: 0.044, G_A: 0.744, cycle_A: 0.247, idt_A: 0.077, D_B: 0.048, G_B: 0.684, cycle_B: 0.171, idt_B: 0.093

[Rank 0] (epoch: 4, iters: 2360, time: 0.072, data: 0.001) , D_A: 0.043, G_A: 0.690, cycle_A: 0.282, idt_A: 0.071, D_B: 0.044, G_B: 0.673, cycle_B: 0.167, idt_B: 0.109

[Rank 0] (epoch: 4, iters: 2460, time: 0.072, data: 0.001) , D_A: 0.259, G_A: 0.175, cycle_A: 0.237, idt_A: 0.189, D_B: 0.113, G_B: 0.689, cycle_B: 0.683, idt_B: 0.091

[Rank 0] (epoch: 4, iters: 2560, time: 0.071, data: 0.001) , D_A: 0.232, G_A: 0.748, cycle_A: 0.243, idt_A: 0.126, D_B: 0.051, G_B: 0.570, cycle_B: 0.239, idt_B: 0.085

[Rank 0] (epoch: 5, iters: 80, time: 0.124, data: 0.001) , D_A: 0.096, G_A: 0.735, cycle_A: 0.232, idt_A: 0.178, D_B: 0.165, G_B: 0.358, cycle_B: 0.399, idt_B: 0.085

[Rank 0] (epoch: 5, iters: 180, time: 0.071, data: 0.001) , D_A: 0.208, G_A: 0.652, cycle_A: 0.238, idt_A: 0.099, D_B: 0.064, G_B: 1.316, cycle_B: 0.201, idt_B: 0.086

[Rank 0] (epoch: 5, iters: 280, time: 0.071, data: 0.001) , D_A: 0.046, G_A: 1.454, cycle_A: 0.258, idt_A: 0.099, D_B: 0.105, G_B: 0.665, cycle_B: 0.258, idt_B: 0.103

[Rank 0] (epoch: 5, iters: 380, time: 0.072, data: 0.001) , D_A: 0.332, G_A: 0.886, cycle_A: 0.494, idt_A: 0.186, D_B: 0.414, G_B: 0.731, cycle_B: 0.404, idt_B: 0.245

[Rank 0] (epoch: 5, iters: 480, time: 0.123, data: 0.001) , D_A: 0.081, G_A: 0.524, cycle_A: 0.236, idt_A: 0.091, D_B: 0.038, G_B: 0.823, cycle_B: 0.231, idt_B: 0.093

[Rank 0] (epoch: 5, iters: 580, time: 0.071, data: 0.001) , D_A: 0.141, G_A: 0.464, cycle_A: 0.226, idt_A: 0.140, D_B: 0.035, G_B: 0.642, cycle_B: 0.320, idt_B: 0.075

[Rank 0] (epoch: 5, iters: 680, time: 0.071, data: 0.003) , D_A: 0.367, G_A: 0.165, cycle_A: 0.274, idt_A: 0.071, D_B: 0.092, G_B: 0.564, cycle_B: 0.213, idt_B: 0.091

[Rank 0] (epoch: 5, iters: 780, time: 0.071, data: 0.001) , D_A: 0.097, G_A: 0.433, cycle_A: 0.216, idt_A: 0.117, D_B: 0.074, G_B: 0.464, cycle_B: 0.249, idt_B: 0.078

[Rank 0] (epoch: 5, iters: 880, time: 0.124, data: 0.001) , D_A: 0.061, G_A: 0.626, cycle_A: 0.223, idt_A: 0.041, D_B: 0.046, G_B: 0.404, cycle_B: 0.135, idt_B: 0.079

[Rank 0] (epoch: 5, iters: 980, time: 0.071, data: 0.001) , D_A: 0.073, G_A: 0.482, cycle_A: 0.250, idt_A: 0.045, D_B: 0.107, G_B: 0.348, cycle_B: 0.152, idt_B: 0.094

[Rank 0] (epoch: 5, iters: 1080, time: 0.072, data: 0.001) , D_A: 0.075, G_A: 0.500, cycle_A: 0.235, idt_A: 0.139, D_B: 0.094, G_B: 0.439, cycle_B: 0.225, idt_B: 0.088

[Rank 0] (epoch: 5, iters: 1180, time: 0.071, data: 0.001) , D_A: 0.013, G_A: 0.454, cycle_A: 0.245, idt_A: 0.068, D_B: 0.025, G_B: 0.898, cycle_B: 0.135, idt_B: 0.092

[Rank 0] (epoch: 5, iters: 1280, time: 0.127, data: 0.001) , D_A: 0.019, G_A: 0.560, cycle_A: 0.383, idt_A: 0.215, D_B: 0.056, G_B: 0.952, cycle_B: 0.366, idt_B: 0.160

[Rank 0] (epoch: 5, iters: 1380, time: 0.072, data: 0.001) , D_A: 0.068, G_A: 0.698, cycle_A: 0.267, idt_A: 0.100, D_B: 0.012, G_B: 0.835, cycle_B: 0.272, idt_B: 0.088

[Rank 0] (epoch: 5, iters: 1480, time: 0.072, data: 0.001) , D_A: 0.015, G_A: 0.777, cycle_A: 0.280, idt_A: 0.152, D_B: 0.191, G_B: 0.428, cycle_B: 0.341, idt_B: 0.111

[Rank 0] (epoch: 5, iters: 1580, time: 0.072, data: 0.001) , D_A: 0.047, G_A: 0.751, cycle_A: 0.227, idt_A: 0.125, D_B: 0.034, G_B: 0.880, cycle_B: 0.491, idt_B: 0.082

[Rank 0] (epoch: 5, iters: 1680, time: 0.124, data: 0.001) , D_A: 0.036, G_A: 0.786, cycle_A: 0.252, idt_A: 0.078, D_B: 0.269, G_B: 0.186, cycle_B: 0.158, idt_B: 0.096

